Year;Month;Day;PM25max;O3max;NO2max;Death;Tmean;Tmax;RH;OXmax
2000;1;28;11.5;29.26666667;34.45454545;40;-16.12;-12.754916792738275;66.82879293;20.658540893835
2000;1;29;15;29.73333333;40.27272727;50;-14.03;-7.594679778113969;52.85508854;23.1167638226462
2000;1;30;35.75;28.06666667;55.27272727;35;-9.18;-2.145234493192133;50.46917826;23.260024730613
2000;1;31;30.25;22.4;51.09090909;51;-5.12;-0.625945537065053;67.36290312;22.0014131778838
2000;2;1;11.5;26.4;31.72727273;32;-5.17;-1.661497730711044;72.72957587;19.1661367249603
2000;2;2;13.5;30.93333333;35;47;-13.98;-11.493822491174987;77.07313111;22.2516466045878
2000;2;3;54.25;23.6;61.33333333;47;-17.3;-10.516263237518912;48.31701872;23.0518282988871
2000;2;4;58.25;26.42857143;61.25;48;-16.97;-9.138174483106404;42.60980697;23.0554848966614
2000;2;5;23.25;28.14285714;47.25;44;-14.02;-6.586232980332829;46.79191128;20.583306836248
2000;2;6;9.25;34.07142857;32;42;-9.25;-2.5795511850731216;52.25693463;23.7337042925278
2000;2;7;10;32.5;28.25;59;-8.16;-2.4882753403933435;58.69293716;22.4801271860095
2000;2;8;19;29.5;46.58333333;36;-13.75;-4.363842662632375;35.48317119;24.5382441264794
2000;2;9;18.75;28.64285714;39.83333333;39;-5.43;0.8309379727685325;55.4828016;20.1122416534181
2000;2;10;12.75;29.5;32.5;45;-13.12;-8.472012102874432;63.77518389;22.2947535771065
2000;2;11;10.5;25.21428571;36.5;45;-8.28;-4.11094301563288;70.0414636;21.3597774244833
2000;2;12;42.25;29.42857143;48.41666667;50;-16.28;-9.633509833585476;51.42174462;23.3235294117647
2000;2;13;60.33333333;28.35714286;61;42;-15.1;-6.126828038325769;36.78905889;28.1427662957075
2000;2;14;10;30.28571429;27.5;45;-6.84;-4.864599092284418;84.10245448;22.9037272566684
2000;2;15;19;32.71428571;52.5;35;-5.91;-2.7830307614725163;75.93824809;25.4379968203498
2000;2;16;18;29.42857143;42.91666667;32;-5.44;0.10476550680786686;60.70069849;21.8823529411765
2000;2;17;30;30.42857143;49.16666667;43;-16.32;-12.149520927887039;66.68204724;23.0173290937997
2000;2;18;49.5;24.5;55.92307692;34;-16.63;-9.046898638426626;43.14516926;25.5454866631337
2000;2;19;38.75;37.64285714;64.61538462;42;-8.92;-3.3299293998991426;58.30659512;29.577106518283
